review_id,product,review_text,rating,date
1,Smart Watch,Great value for the price.,4,2025-04-21
2,Laptop Stand,Excellent product! Very satisfied.,4,2025-04-21
3,Keyboard,Excellent product! Very satisfied.,4,2025-04-21
4,Laptop Stand,Super convenient and reliable.,4,2025-04-21
5,Laptop Stand,Not worth the money.,2,2025-04-21
6,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
7,Gaming Mouse,Not worth the money.,1,2025-04-21
8,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
9,Smart Watch,"Very disappointed, poor quality.",3,2025-04-21
10,Bluetooth Speaker,"Absolutely love it, would buy again.",4,2025-04-21
11,Keyboard,Super convenient and reliable.,5,2025-04-21
12,Gaming Mouse,Excellent product! Very satisfied.,4,2025-04-21
13,Laptop Stand,"Terrible experience, broke in a week.",1,2025-04-21
14,Smart Watch,"Very disappointed, poor quality.",2,2025-04-21
15,Gaming Mouse,Great value for the price.,5,2025-04-21
16,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
17,Phone Case,Sound quality is amazing and very durable.,5,2025-04-21
18,Keyboard,Would not recommend to anyone.,1,2025-04-21
19,Gaming Mouse,Sound quality is amazing and very durable.,4,2025-04-21
20,Gaming Mouse,"Very disappointed, poor quality.",1,2025-04-21
21,Laptop Stand,Not worth the money.,3,2025-04-21
22,Tablet,Stopped working after a few uses.,1,2025-04-21
23,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
24,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
25,Phone Case,"Terrible experience, broke in a week.",1,2025-04-21
26,Smart Watch,Sound quality is amazing and very durable.,5,2025-04-21
27,Smart Watch,Stopped working after a few uses.,3,2025-04-21
28,Tablet,Would not recommend to anyone.,1,2025-04-21
29,Smart Watch,"Very disappointed, poor quality.",1,2025-04-21
30,Bluetooth Speaker,Not worth the money.,2,2025-04-21
31,Wireless Earbuds,Would not recommend to anyone.,1,2025-04-21
32,Smart Watch,Would not recommend to anyone.,3,2025-04-21
33,Laptop Stand,Great value for the price.,4,2025-04-21
34,Wireless Earbuds,Stopped working after a few uses.,1,2025-04-21
35,Smart Watch,"Very disappointed, poor quality.",1,2025-04-21
36,Wireless Earbuds,Super convenient and reliable.,4,2025-04-21
37,Smart Watch,"Terrible experience, broke in a week.",3,2025-04-21
38,Phone Case,"Absolutely love it, would buy again.",4,2025-04-21
39,Bluetooth Speaker,Not worth the money.,3,2025-04-21
40,Laptop Stand,Stopped working after a few uses.,3,2025-04-21
41,Gaming Mouse,Would not recommend to anyone.,2,2025-04-21
42,Smart Watch,Sound quality is amazing and very durable.,4,2025-04-21
43,Gaming Mouse,Super convenient and reliable.,4,2025-04-21
44,Laptop Stand,Excellent product! Very satisfied.,4,2025-04-21
45,Laptop Stand,Excellent product! Very satisfied.,5,2025-04-21
46,Smart Watch,Great value for the price.,5,2025-04-21
47,Laptop Stand,Super convenient and reliable.,5,2025-04-21
48,Laptop Stand,Stopped working after a few uses.,1,2025-04-21
49,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
50,Keyboard,Stopped working after a few uses.,3,2025-04-21
51,Wireless Earbuds,Excellent product! Very satisfied.,5,2025-04-21
52,Gaming Mouse,Sound quality is amazing and very durable.,4,2025-04-21
53,Laptop Stand,Not worth the money.,2,2025-04-21
54,Phone Case,Stopped working after a few uses.,1,2025-04-21
55,Smart Watch,Would not recommend to anyone.,1,2025-04-21
56,Wireless Earbuds,Excellent product! Very satisfied.,4,2025-04-21
57,Phone Case,Stopped working after a few uses.,2,2025-04-21
58,Laptop Stand,"Terrible experience, broke in a week.",1,2025-04-21
59,Keyboard,"Absolutely love it, would buy again.",5,2025-04-21
60,Tablet,Stopped working after a few uses.,3,2025-04-21
61,Tablet,Sound quality is amazing and very durable.,5,2025-04-21
62,Laptop Stand,Super convenient and reliable.,4,2025-04-21
63,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
64,Phone Case,Super convenient and reliable.,4,2025-04-21
65,Phone Case,Super convenient and reliable.,4,2025-04-21
66,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
67,Laptop Stand,Super convenient and reliable.,4,2025-04-21
68,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
69,Gaming Mouse,Great value for the price.,5,2025-04-21
70,Phone Case,Stopped working after a few uses.,2,2025-04-21
71,Smart Watch,"Absolutely love it, would buy again.",4,2025-04-21
72,Smart Watch,Super convenient and reliable.,5,2025-04-21
73,Phone Case,"Terrible experience, broke in a week.",1,2025-04-21
74,Gaming Mouse,Not worth the money.,2,2025-04-21
75,Bluetooth Speaker,Super convenient and reliable.,5,2025-04-21
76,Smart Watch,Great value for the price.,4,2025-04-21
77,Smart Watch,Great value for the price.,5,2025-04-21
78,Laptop Stand,Not worth the money.,3,2025-04-21
79,Bluetooth Speaker,"Very disappointed, poor quality.",1,2025-04-21
80,Smart Watch,"Very disappointed, poor quality.",1,2025-04-21
81,Wireless Earbuds,Not worth the money.,3,2025-04-21
82,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
83,Wireless Earbuds,Excellent product! Very satisfied.,4,2025-04-21
84,Wireless Earbuds,Would not recommend to anyone.,3,2025-04-21
85,Phone Case,Not worth the money.,1,2025-04-21
86,Bluetooth Speaker,"Terrible experience, broke in a week.",2,2025-04-21
87,Laptop Stand,Excellent product! Very satisfied.,5,2025-04-21
88,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
89,Phone Case,"Terrible experience, broke in a week.",1,2025-04-21
90,Gaming Mouse,Not worth the money.,2,2025-04-21
91,Phone Case,"Absolutely love it, would buy again.",4,2025-04-21
92,Tablet,Sound quality is amazing and very durable.,5,2025-04-21
93,Gaming Mouse,Not worth the money.,1,2025-04-21
94,Wireless Earbuds,"Absolutely love it, would buy again.",5,2025-04-21
95,Bluetooth Speaker,Great value for the price.,5,2025-04-21
96,Keyboard,"Terrible experience, broke in a week.",1,2025-04-21
97,Bluetooth Speaker,Super convenient and reliable.,5,2025-04-21
98,Wireless Earbuds,Super convenient and reliable.,5,2025-04-21
99,Gaming Mouse,Stopped working after a few uses.,3,2025-04-21
100,Smart Watch,Would not recommend to anyone.,1,2025-04-21
101,Bluetooth Speaker,"Absolutely love it, would buy again.",4,2025-04-21
102,Laptop Stand,Stopped working after a few uses.,1,2025-04-21
103,Gaming Mouse,"Terrible experience, broke in a week.",3,2025-04-21
104,Bluetooth Speaker,Stopped working after a few uses.,2,2025-04-21
105,Keyboard,Would not recommend to anyone.,1,2025-04-21
106,Laptop Stand,Stopped working after a few uses.,3,2025-04-21
107,Phone Case,Stopped working after a few uses.,3,2025-04-21
108,Wireless Earbuds,"Very disappointed, poor quality.",1,2025-04-21
109,Keyboard,Stopped working after a few uses.,2,2025-04-21
110,Tablet,Super convenient and reliable.,5,2025-04-21
111,Phone Case,Great value for the price.,5,2025-04-21
112,Smart Watch,Great value for the price.,4,2025-04-21
113,Laptop Stand,Excellent product! Very satisfied.,4,2025-04-21
114,Laptop Stand,Would not recommend to anyone.,1,2025-04-21
115,Tablet,Would not recommend to anyone.,1,2025-04-21
116,Keyboard,Stopped working after a few uses.,1,2025-04-21
117,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
118,Laptop Stand,Super convenient and reliable.,5,2025-04-21
119,Wireless Earbuds,Excellent product! Very satisfied.,5,2025-04-21
120,Phone Case,Would not recommend to anyone.,3,2025-04-21
121,Gaming Mouse,Would not recommend to anyone.,3,2025-04-21
122,Keyboard,Not worth the money.,3,2025-04-21
123,Tablet,"Very disappointed, poor quality.",1,2025-04-21
124,Bluetooth Speaker,Not worth the money.,2,2025-04-21
125,Tablet,Great value for the price.,4,2025-04-21
126,Bluetooth Speaker,"Very disappointed, poor quality.",3,2025-04-21
127,Smart Watch,Sound quality is amazing and very durable.,4,2025-04-21
128,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
129,Keyboard,"Very disappointed, poor quality.",3,2025-04-21
130,Tablet,"Terrible experience, broke in a week.",1,2025-04-21
131,Keyboard,Would not recommend to anyone.,3,2025-04-21
132,Wireless Earbuds,Stopped working after a few uses.,1,2025-04-21
133,Gaming Mouse,Stopped working after a few uses.,2,2025-04-21
134,Laptop Stand,Not worth the money.,2,2025-04-21
135,Keyboard,"Terrible experience, broke in a week.",2,2025-04-21
136,Gaming Mouse,Not worth the money.,2,2025-04-21
137,Phone Case,"Absolutely love it, would buy again.",4,2025-04-21
138,Smart Watch,Not worth the money.,2,2025-04-21
139,Phone Case,Great value for the price.,5,2025-04-21
140,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
141,Gaming Mouse,"Very disappointed, poor quality.",2,2025-04-21
142,Bluetooth Speaker,"Absolutely love it, would buy again.",4,2025-04-21
143,Wireless Earbuds,Not worth the money.,3,2025-04-21
144,Smart Watch,Excellent product! Very satisfied.,4,2025-04-21
145,Laptop Stand,Super convenient and reliable.,4,2025-04-21
146,Laptop Stand,"Absolutely love it, would buy again.",4,2025-04-21
147,Laptop Stand,"Very disappointed, poor quality.",2,2025-04-21
148,Phone Case,Sound quality is amazing and very durable.,5,2025-04-21
149,Smart Watch,Great value for the price.,5,2025-04-21
150,Keyboard,Excellent product! Very satisfied.,4,2025-04-21
151,Smart Watch,Would not recommend to anyone.,1,2025-04-21
152,Wireless Earbuds,Would not recommend to anyone.,2,2025-04-21
153,Gaming Mouse,Super convenient and reliable.,5,2025-04-21
154,Wireless Earbuds,Stopped working after a few uses.,1,2025-04-21
155,Keyboard,Stopped working after a few uses.,3,2025-04-21
156,Phone Case,Not worth the money.,3,2025-04-21
157,Bluetooth Speaker,Stopped working after a few uses.,2,2025-04-21
158,Bluetooth Speaker,Not worth the money.,1,2025-04-21
159,Bluetooth Speaker,Not worth the money.,2,2025-04-21
160,Keyboard,"Terrible experience, broke in a week.",2,2025-04-21
161,Gaming Mouse,"Absolutely love it, would buy again.",4,2025-04-21
162,Gaming Mouse,"Very disappointed, poor quality.",2,2025-04-21
163,Bluetooth Speaker,Super convenient and reliable.,4,2025-04-21
164,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
165,Laptop Stand,Stopped working after a few uses.,2,2025-04-21
166,Wireless Earbuds,Great value for the price.,4,2025-04-21
167,Keyboard,Great value for the price.,5,2025-04-21
168,Tablet,Stopped working after a few uses.,3,2025-04-21
169,Gaming Mouse,Stopped working after a few uses.,2,2025-04-21
170,Bluetooth Speaker,Not worth the money.,1,2025-04-21
171,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
172,Phone Case,Sound quality is amazing and very durable.,5,2025-04-21
173,Bluetooth Speaker,"Terrible experience, broke in a week.",1,2025-04-21
174,Bluetooth Speaker,Great value for the price.,4,2025-04-21
175,Bluetooth Speaker,Super convenient and reliable.,4,2025-04-21
176,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
177,Phone Case,"Terrible experience, broke in a week.",1,2025-04-21
178,Bluetooth Speaker,Stopped working after a few uses.,2,2025-04-21
179,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
180,Tablet,Excellent product! Very satisfied.,5,2025-04-21
181,Tablet,Super convenient and reliable.,4,2025-04-21
182,Phone Case,Super convenient and reliable.,5,2025-04-21
183,Smart Watch,Excellent product! Very satisfied.,5,2025-04-21
184,Laptop Stand,Stopped working after a few uses.,2,2025-04-21
185,Bluetooth Speaker,"Very disappointed, poor quality.",3,2025-04-21
186,Wireless Earbuds,Sound quality is amazing and very durable.,4,2025-04-21
187,Bluetooth Speaker,Sound quality is amazing and very durable.,4,2025-04-21
188,Phone Case,Sound quality is amazing and very durable.,4,2025-04-21
189,Keyboard,Would not recommend to anyone.,2,2025-04-21
190,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
191,Bluetooth Speaker,"Terrible experience, broke in a week.",3,2025-04-21
192,Laptop Stand,Would not recommend to anyone.,3,2025-04-21
193,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
194,Laptop Stand,Great value for the price.,4,2025-04-21
195,Smart Watch,Sound quality is amazing and very durable.,5,2025-04-21
196,Bluetooth Speaker,"Terrible experience, broke in a week.",2,2025-04-21
197,Bluetooth Speaker,"Very disappointed, poor quality.",3,2025-04-21
198,Tablet,"Terrible experience, broke in a week.",3,2025-04-21
199,Wireless Earbuds,"Very disappointed, poor quality.",3,2025-04-21
200,Bluetooth Speaker,Excellent product! Very satisfied.,4,2025-04-21
201,Wireless Earbuds,Would not recommend to anyone.,1,2025-04-21
202,Phone Case,Would not recommend to anyone.,3,2025-04-21
203,Tablet,Not worth the money.,3,2025-04-21
204,Keyboard,"Terrible experience, broke in a week.",2,2025-04-21
205,Gaming Mouse,"Very disappointed, poor quality.",2,2025-04-21
206,Smart Watch,Great value for the price.,5,2025-04-21
207,Tablet,Stopped working after a few uses.,3,2025-04-21
208,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
209,Bluetooth Speaker,"Terrible experience, broke in a week.",2,2025-04-21
210,Wireless Earbuds,Stopped working after a few uses.,1,2025-04-21
211,Laptop Stand,Would not recommend to anyone.,2,2025-04-21
212,Tablet,Sound quality is amazing and very durable.,5,2025-04-21
213,Phone Case,Stopped working after a few uses.,3,2025-04-21
214,Tablet,Excellent product! Very satisfied.,4,2025-04-21
215,Phone Case,Would not recommend to anyone.,1,2025-04-21
216,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
217,Tablet,Sound quality is amazing and very durable.,5,2025-04-21
218,Bluetooth Speaker,Stopped working after a few uses.,2,2025-04-21
219,Tablet,"Absolutely love it, would buy again.",4,2025-04-21
220,Keyboard,Super convenient and reliable.,4,2025-04-21
221,Smart Watch,Stopped working after a few uses.,2,2025-04-21
222,Bluetooth Speaker,Great value for the price.,5,2025-04-21
223,Tablet,"Absolutely love it, would buy again.",5,2025-04-21
224,Gaming Mouse,Would not recommend to anyone.,3,2025-04-21
225,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
226,Laptop Stand,Not worth the money.,2,2025-04-21
227,Wireless Earbuds,Stopped working after a few uses.,3,2025-04-21
228,Keyboard,Not worth the money.,2,2025-04-21
229,Wireless Earbuds,Super convenient and reliable.,5,2025-04-21
230,Smart Watch,"Terrible experience, broke in a week.",3,2025-04-21
231,Tablet,Sound quality is amazing and very durable.,5,2025-04-21
232,Phone Case,"Absolutely love it, would buy again.",5,2025-04-21
233,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
234,Keyboard,Stopped working after a few uses.,3,2025-04-21
235,Wireless Earbuds,Sound quality is amazing and very durable.,5,2025-04-21
236,Laptop Stand,"Absolutely love it, would buy again.",4,2025-04-21
237,Smart Watch,Not worth the money.,3,2025-04-21
238,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
239,Wireless Earbuds,"Very disappointed, poor quality.",2,2025-04-21
240,Keyboard,Sound quality is amazing and very durable.,5,2025-04-21
241,Phone Case,Sound quality is amazing and very durable.,4,2025-04-21
242,Keyboard,"Absolutely love it, would buy again.",4,2025-04-21
243,Laptop Stand,"Very disappointed, poor quality.",2,2025-04-21
244,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
245,Phone Case,"Absolutely love it, would buy again.",5,2025-04-21
246,Bluetooth Speaker,"Very disappointed, poor quality.",2,2025-04-21
247,Bluetooth Speaker,"Absolutely love it, would buy again.",5,2025-04-21
248,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
249,Bluetooth Speaker,"Terrible experience, broke in a week.",3,2025-04-21
250,Keyboard,"Terrible experience, broke in a week.",3,2025-04-21
251,Wireless Earbuds,"Very disappointed, poor quality.",1,2025-04-21
252,Gaming Mouse,Sound quality is amazing and very durable.,5,2025-04-21
253,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
254,Tablet,Super convenient and reliable.,5,2025-04-21
255,Phone Case,Great value for the price.,5,2025-04-21
256,Keyboard,Sound quality is amazing and very durable.,4,2025-04-21
257,Gaming Mouse,Not worth the money.,2,2025-04-21
258,Tablet,"Very disappointed, poor quality.",1,2025-04-21
259,Tablet,Sound quality is amazing and very durable.,4,2025-04-21
260,Keyboard,"Terrible experience, broke in a week.",2,2025-04-21
261,Wireless Earbuds,Would not recommend to anyone.,1,2025-04-21
262,Tablet,"Very disappointed, poor quality.",3,2025-04-21
263,Keyboard,"Terrible experience, broke in a week.",3,2025-04-21
264,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
265,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
266,Bluetooth Speaker,"Terrible experience, broke in a week.",1,2025-04-21
267,Wireless Earbuds,Great value for the price.,5,2025-04-21
268,Smart Watch,Sound quality is amazing and very durable.,4,2025-04-21
269,Keyboard,"Very disappointed, poor quality.",3,2025-04-21
270,Keyboard,"Absolutely love it, would buy again.",4,2025-04-21
271,Tablet,"Very disappointed, poor quality.",1,2025-04-21
272,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
273,Laptop Stand,"Terrible experience, broke in a week.",3,2025-04-21
274,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
275,Bluetooth Speaker,Excellent product! Very satisfied.,5,2025-04-21
276,Smart Watch,Super convenient and reliable.,4,2025-04-21
277,Wireless Earbuds,Not worth the money.,1,2025-04-21
278,Laptop Stand,Super convenient and reliable.,4,2025-04-21
279,Laptop Stand,Great value for the price.,4,2025-04-21
280,Wireless Earbuds,Not worth the money.,1,2025-04-21
281,Bluetooth Speaker,Excellent product! Very satisfied.,4,2025-04-21
282,Phone Case,Great value for the price.,4,2025-04-21
283,Gaming Mouse,Sound quality is amazing and very durable.,5,2025-04-21
284,Wireless Earbuds,"Absolutely love it, would buy again.",4,2025-04-21
285,Smart Watch,Stopped working after a few uses.,2,2025-04-21
286,Smart Watch,Would not recommend to anyone.,1,2025-04-21
287,Wireless Earbuds,Stopped working after a few uses.,3,2025-04-21
288,Wireless Earbuds,"Absolutely love it, would buy again.",5,2025-04-21
289,Keyboard,"Absolutely love it, would buy again.",5,2025-04-21
290,Smart Watch,Great value for the price.,4,2025-04-21
291,Smart Watch,Great value for the price.,5,2025-04-21
292,Keyboard,Stopped working after a few uses.,3,2025-04-21
293,Keyboard,Excellent product! Very satisfied.,4,2025-04-21
294,Keyboard,Not worth the money.,2,2025-04-21
295,Gaming Mouse,Stopped working after a few uses.,2,2025-04-21
296,Smart Watch,Stopped working after a few uses.,2,2025-04-21
297,Bluetooth Speaker,Not worth the money.,3,2025-04-21
298,Tablet,Excellent product! Very satisfied.,4,2025-04-21
299,Smart Watch,"Terrible experience, broke in a week.",3,2025-04-21
300,Gaming Mouse,Super convenient and reliable.,4,2025-04-21
301,Gaming Mouse,"Absolutely love it, would buy again.",5,2025-04-21
302,Keyboard,Great value for the price.,5,2025-04-21
303,Gaming Mouse,Super convenient and reliable.,4,2025-04-21
304,Phone Case,Not worth the money.,1,2025-04-21
305,Gaming Mouse,"Terrible experience, broke in a week.",2,2025-04-21
306,Laptop Stand,Would not recommend to anyone.,3,2025-04-21
307,Wireless Earbuds,"Terrible experience, broke in a week.",1,2025-04-21
308,Bluetooth Speaker,"Very disappointed, poor quality.",2,2025-04-21
309,Wireless Earbuds,Sound quality is amazing and very durable.,5,2025-04-21
310,Smart Watch,Excellent product! Very satisfied.,4,2025-04-21
311,Laptop Stand,Stopped working after a few uses.,2,2025-04-21
312,Gaming Mouse,Great value for the price.,5,2025-04-21
313,Gaming Mouse,Excellent product! Very satisfied.,4,2025-04-21
314,Phone Case,Excellent product! Very satisfied.,5,2025-04-21
315,Tablet,Stopped working after a few uses.,3,2025-04-21
316,Tablet,"Very disappointed, poor quality.",1,2025-04-21
317,Smart Watch,Stopped working after a few uses.,1,2025-04-21
318,Bluetooth Speaker,Would not recommend to anyone.,3,2025-04-21
319,Bluetooth Speaker,Sound quality is amazing and very durable.,5,2025-04-21
320,Wireless Earbuds,Sound quality is amazing and very durable.,5,2025-04-21
321,Laptop Stand,Great value for the price.,5,2025-04-21
322,Gaming Mouse,Excellent product! Very satisfied.,5,2025-04-21
323,Keyboard,Sound quality is amazing and very durable.,5,2025-04-21
324,Laptop Stand,"Terrible experience, broke in a week.",2,2025-04-21
325,Wireless Earbuds,"Terrible experience, broke in a week.",2,2025-04-21
326,Smart Watch,Would not recommend to anyone.,2,2025-04-21
327,Keyboard,"Very disappointed, poor quality.",1,2025-04-21
328,Keyboard,Great value for the price.,4,2025-04-21
329,Tablet,"Terrible experience, broke in a week.",2,2025-04-21
330,Smart Watch,"Absolutely love it, would buy again.",5,2025-04-21
331,Smart Watch,"Very disappointed, poor quality.",3,2025-04-21
332,Gaming Mouse,Great value for the price.,4,2025-04-21
